"pacific_datetime","channel","date","image_name","list_price","product","sale_amount","sale_price","url"
"1736978890","Costco","","1736978890_16-af0075cl_Costco","800","16-af0075cl","200","100","https://www.costco.com/hp-pavilion-16-touchscreen-laptop---intel-core-ultra-7-155u---geforce-mx570-a---1920-x-1200---windows-11---32gb-ram---2tb-ssd.product.4000260647.html"
"1736978883","Costco","","1736978883_17-cn4065cl_Costco","800","17-cn4065cl","200","100","https://www.costco.com/hp-173-touchscreen-laptop---intel-core-7-150u---1600-x-900---windows-11-home---16gb-ram---1tb-ssd.product.4000252511.html"
"1737151262","Costco","2025-01-17","1737151262_17-cn4065cl_Costco","800","17-cn4065cl","200","100","https://www.costco.com/hp-173-touchscreen-laptop---intel-core-7-150u---1600-x-900---windows-11-home---16gb-ram---1tb-ssd.product.4000252511.html"
"1737150600","Costco","","1737150600_17-cn4065cl_Costco","800","17-cn4065cl","200","100","https://www.costco.com/hp-173-touchscreen-laptop---intel-core-7-150u---1600-x-900---windows-11-home---16gb-ram---1tb-ssd.product.4000252511.html"
"1736975505","Costco","","1736975505_17-cn4065cl_Costco","800","17-cn4065cl","200","100","https://www.costco.com/hp-173-touchscreen-laptop---intel-core-7-150u---1600-x-900---windows-11-home---16gb-ram---1tb-ssd.product.4000252511.html"
"1736975512","Costco","","1736975512_16-af0075cl_Costco","800","16-af0075cl","200","100","https://www.costco.com/hp-pavilion-16-touchscreen-laptop---intel-core-ultra-7-155u---geforce-mx570-a---1920-x-1200---windows-11---32gb-ram---2tb-ssd.product.4000260647.html"
"1737150609","Costco","","1737150609_16-af0075cl_Costco","800","16-af0075cl","200","100","https://www.costco.com/hp-pavilion-16-touchscreen-laptop---intel-core-ultra-7-155u---geforce-mx570-a---1920-x-1200---windows-11---32gb-ram---2tb-ssd.product.4000260647.html"
"1737584505","Costco","2025-01-22","1737584505_17-cn4065cl_Costco","849.99","17-cn4065cl","0","849.99","https://www.costco.com/hp-173-touchscreen-laptop---intel-core-7-150u---1600-x-900---windows-11-home---16gb-ram---1tb-ssd.product.4000252511.html"
"1737584516","Costco","2025-01-22","1737584516_16-af0075cl_Costco","1199.99","16-af0075cl","0","1199.99","https://www.costco.com/hp-pavilion-16-touchscreen-laptop---intel-core-ultra-7-155u---geforce-mx570-a---1920-x-1200---windows-11---32gb-ram---2tb-ssd.product.4000260647.html"
"1737151270","Costco","2025-01-17","1737151270_16-af0075cl_Costco","800","16-af0075cl","200","100","https://www.costco.com/hp-pavilion-16-touchscreen-laptop---intel-core-ultra-7-155u---geforce-mx570-a---1920-x-1200---windows-11---32gb-ram---2tb-ssd.product.4000260647.html"